Date : 2025-11-25 12:35:24
Directory : /Users/user/Documents/BlueprintCAD
Total : 483 files,  103433 codes, 11302 comments, 14982 blanks, all 129717 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| app/notifications                                                                             |          1 |        270 |         10 |         26 |        306 |
| app/orders                                                                                    |          1 |        309 |          7 |         24 |        340 |
| app/profile                                                                                   |          4 |      1,864 |         54 |        134 |      2,052 |
| app/profile/[username]                                                                        |          4 |      1,864 |         54 |        134 |      2,052 |
| app/profile/[username] (Files)                                                                |          2 |      1,478 |         54 |         98 |      1,630 |
| app/profile/[username]/followers                                                              |          1 |        193 |          0 |         18 |        211 |
| app/profile/[username]/following                                                              |          1 |        193 |          0 |         18 |        211 |
| app/project                                                                                   |          2 |        902 |         25 |         46 |        973 |
| app/project/[id]                                                                              |          2 |        902 |         25 |         46 |        973 |
| app/providers                                                                                 |          1 |          6 |          0 |          3 |          9 |
| app/quote                                                                                     |          2 |      1,836 |         92 |        180 |      2,108 |
| app/register                                                                                  |          1 |        269 |          8 |         26 |        303 |
| app/reset-password                                                                            |          1 |        213 |          5 |         23 |        241 |
| app/settings                                                                                  |          2 |        948 |         22 |         57 |      1,027 |
| app/settings (Files)                                                                          |          1 |        710 |         20 |         31 |        761 |
| app/settings/account                                                                          |          1 |        238 |          2 |         26 |        266 |
| app/support                                                                                   |          1 |        199 |          8 |         11 |        218 |
| app/upload                                                                                    |          1 |        630 |         30 |         64 |        724 |
| app/verify-email                                                                              |          1 |        123 |          2 |         16 |        141 |
| backend                                                                                       |        181 |     28,614 |      4,886 |      5,683 |     39,183 |
| backend/api                                                                                   |         88 |      6,789 |        632 |      1,388 |      8,809 |
| backend/api (Files)                                                                           |          4 |        276 |         25 |         53 |        354 |
| backend/api/auth                                                                              |         10 |        699 |         77 |        156 |        932 |
| backend/api/cad                                                                               |         10 |        803 |         42 |        154 |        999 |
| backend/api/cad (Files)                                                                       |          1 |         57 |          3 |          9 |         69 |
| backend/api/cad/assemblies                                                                    |          2 |        251 |          6 |         42 |        299 |
| backend/api/cad/files                                                                         |          7 |        495 |         33 |        103 |        631 |
| backend/api/cad/files (Files)                                                                 |          3 |        162 |          8 |         36 |        206 |
| backend/api/cad/files/[id]                                                                    |          4 |        333 |         25 |         67 |        425 |
| backend/api/comments                                                                          |          2 |        196 |         16 |         33 |        245 |
| backend/api/comments/[commentId]                                                              |          1 |         40 |          3 |          8 |         51 |
| backend/api/comments/on                                                                       |          1 |        156 |         13 |         25 |        194 |
| backend/api/comments/on/[entityType]                                                          |          1 |        156 |         13 |         25 |        194 |
| backend/api/dashboard                                                                         |          4 |        326 |         33 |         54 |        413 |
| backend/api/files                                                                             |          1 |        128 |         29 |         31 |        188 |
| backend/api/folders                                                                           |         12 |        873 |         54 |        183 |      1,110 |
| backend/api/folders (Files)                                                                   |          3 |        148 |          3 |         30 |        181 |
| backend/api/folders/[id]                                                                      |          9 |        725 |         51 |        153 |        929 |
| backend/api/folders/[id] (Files)                                                              |          7 |        533 |         29 |        102 |        664 |
| backend/api/folders/[id]/members                                                              |          2 |        192 |         22 |         51 |        265 |
| backend/api/folders/[id]/members (Files)                                                      |          1 |         76 |          4 |         18 |         98 |
| backend/api/folders/[id]/members/[memberId]                                                   |          1 |        116 |         18 |         33 |        167 |
| backend/api/forum                                                                             |          3 |        206 |         19 |         53 |        278 |
| backend/api/invitations                                                                       |          2 |        100 |          3 |         17 |        120 |
| backend/api/issues                                                                            |          3 |        319 |         27 |         67 |        413 |
| backend/api/issues (Files)                                                                    |          2 |        231 |         20 |         46 |        297 |
| backend/api/issues/[id]                                                                       |          1 |         88 |          7 |         21 |        116 |
| backend/api/manufacturing-orders                                                              |          1 |        101 |          6 |         14 |        121 |
| backend/api/messages                                                                          |          1 |         39 |          4 |         10 |         53 |
| backend/api/orders                                                                            |          5 |        399 |         49 |         90 |        538 |
| backend/api/ownership-transfer                                                                |          2 |        307 |         38 |         60 |        405 |
| backend/api/projects                                                                          |         11 |        978 |        100 |        180 |      1,258 |
| backend/api/projects (Files)                                                                  |          4 |        416 |         22 |         64 |        502 |
| backend/api/projects/[id]                                                                     |          7 |        562 |         78 |        116 |        756 |
| backend/api/quote                                                                             |          1 |        102 |          8 |         24 |        134 |
| backend/api/rename-move-history                                                               |          1 |         34 |          0 |          8 |         42 |
| backend/api/rename-move-history/[entityType]                                                  |          1 |         34 |          0 |          8 |         42 |
| backend/api/thumbnails                                                                        |          2 |        121 |         23 |         33 |        177 |
| backend/api/users                                                                             |         13 |        782 |         79 |        168 |      1,029 |
| backend/api/users (Files)                                                                     |          7 |        376 |         40 |         88 |        504 |
| backend/api/users/[username]                                                                  |          4 |        344 |         35 |         63 |        442 |
| backend/api/users/banner                                                                      |          1 |         31 |          2 |          9 |         42 |
| backend/api/users/profile-picture                                                             |          1 |         31 |          2 |          8 |         41 |
| backend/lib                                                                                   |         60 |     20,102 |      4,112 |      3,977 |     28,191 |
| backend/lib (Files)                                                                           |         18 |      3,084 |        636 |        512 |      4,232 |
| backend/lib/cad                                                                               |         41 |     16,885 |      3,466 |      3,450 |     23,801 |
| backend/lib/cad (Files)                                                                       |         32 |     13,879 |      2,713 |      2,729 |     19,321 |
| backend/lib/cad/brep                                                                          |          9 |      3,006 |        753 |        721 |      4,480 |
| backend/lib/ui                                                                                |          1 |        133 |         10 |         15 |        158 |
| backend/scripts                                                                               |         33 |      1,723 |        142 |        318 |      2,183 |
| db                                                                                            |         10 |        563 |         32 |         60 |        655 |
| db (Files)                                                                                    |          1 |        218 |          7 |          7 |        232 |
| db/migrations                                                                                 |          9 |        345 |         25 |         53 |        423 |
| frontend                                                                                      |         66 |     16,034 |        710 |      1,596 |     18,340 |
| frontend/components                                                                           |         64 |     15,914 |        710 |      1,586 |     18,210 |
| frontend/components (Files)                                                                   |         23 |      3,976 |        178 |        401 |      4,555 |
| frontend/components/cad                                                                       |         38 |     11,202 |        497 |      1,118 |     12,817 |
| frontend/components/ui                                                                        |          3 |        736 |         35 |         67 |        838 |
| frontend/types                                                                                |          2 |        120 |          0 |         10 |        130 |
| lib                                                                                           |         60 |     19,808 |      4,005 |      3,893 |     27,706 |
| lib (Files)                                                                                   |         18 |      2,790 |        529 |        428 |      3,747 |
| lib/cad                                                                                       |         41 |     16,885 |      3,466 |      3,450 |     23,801 |
| lib/cad (Files)                                                                               |         32 |     13,879 |      2,713 |      2,729 |     19,321 |
| lib/cad/brep                                                                                  |          9 |      3,006 |        753 |        721 |      4,480 |
| lib/ui                                                                                        |          1 |        133 |         10 |         15 |        158 |
| pages                                                                                         |         95 |      7,642 |        737 |      1,494 |      9,873 |
| pages (Files)                                                                                 |          2 |         23 |          0 |          5 |         28 |
| pages/api                                                                                     |         93 |      7,619 |        737 |      1,489 |      9,845 |
| pages/api (Files)                                                                             |          3 |        212 |         23 |         40 |        275 |
| pages/api/auth                                                                                |         10 |        699 |         77 |        156 |        932 |
| pages/api/cad                                                                                 |         10 |        803 |         42 |        154 |        999 |
| pages/api/cad (Files)                                                                         |          1 |         57 |          3 |          9 |         69 |
| pages/api/cad/assemblies                                                                      |          2 |        251 |          6 |         42 |        299 |
| pages/api/cad/files                                                                           |          7 |        495 |         33 |        103 |        631 |
| pages/api/cad/files (Files)                                                                   |          3 |        162 |          8 |         36 |        206 |
| pages/api/cad/files/[id]                                                                      |          4 |        333 |         25 |         67 |        425 |
| pages/api/comments                                                                            |          2 |        196 |         16 |         33 |        245 |
| pages/api/comments/[commentId]                                                                |          1 |         40 |          3 |          8 |         51 |
| pages/api/comments/on                                                                         |          1 |        156 |         13 |         25 |        194 |
| pages/api/comments/on/[entityType]                                                            |          1 |        156 |         13 |         25 |        194 |
| pages/api/dashboard                                                                           |          4 |        339 |         35 |         56 |        430 |
| pages/api/files                                                                               |          1 |        128 |         29 |         31 |        188 |
| pages/api/folders                                                                             |         12 |        875 |         57 |        183 |      1,115 |
| pages/api/folders (Files)                                                                     |          3 |        150 |          6 |         30 |        186 |
| pages/api/folders/[id]                                                                        |          9 |        725 |         51 |        153 |        929 |
| pages/api/folders/[id] (Files)                                                                |          7 |        533 |         29 |        102 |        664 |
| pages/api/folders/[id]/members                                                                |          2 |        192 |         22 |         51 |        265 |
| pages/api/folders/[id]/members (Files)                                                        |          1 |         76 |          4 |         18 |         98 |
| pages/api/folders/[id]/members/[memberId]                                                     |          1 |        116 |         18 |         33 |        167 |
| pages/api/forum                                                                               |          3 |        207 |         19 |         53 |        279 |
| pages/api/invitations                                                                         |          2 |        100 |          3 |         17 |        120 |
| pages/api/issues                                                                              |          3 |        319 |         27 |         67 |        413 |
| pages/api/issues (Files)                                                                      |          2 |        231 |         20 |         46 |        297 |
| pages/api/issues/[id]                                                                         |          1 |         88 |          7 |         21 |        116 |
| pages/api/manufacturing-orders                                                                |          1 |        101 |          6 |         14 |        121 |
| pages/api/messages                                                                            |          2 |         61 |          6 |         17 |         84 |
| pages/api/notifications                                                                       |          2 |         89 |          8 |         21 |        118 |
| pages/api/orders                                                                              |          5 |        399 |         49 |         90 |        538 |
| pages/api/ownership-transfer                                                                  |          2 |        307 |         38 |         60 |        405 |
| pages/api/projects                                                                            |         12 |      1,488 |        176 |        236 |      1,900 |
| pages/api/projects (Files)                                                                    |          4 |        801 |         79 |        100 |        980 |
| pages/api/projects/[id]                                                                       |          8 |        687 |         97 |        136 |        920 |
| pages/api/quote                                                                               |          1 |        102 |          8 |         24 |        134 |
| pages/api/rename-move-history                                                                 |          1 |         34 |          0 |          8 |         42 |
| pages/api/rename-move-history/[entityType]                                                    |          1 |         34 |          0 |          8 |         42 |
| pages/api/thumbnails                                                                          |          2 |        122 |         24 |         35 |        181 |
| pages/api/users                                                                               |         15 |      1,038 |         94 |        194 |      1,326 |
| pages/api/users (Files)                                                                       |          8 |        461 |         46 |        101 |        608 |
| pages/api/users/[username]                                                                    |          5 |        515 |         44 |         76 |        635 |
| pages/api/users/banner                                                                        |          1 |         31 |          2 |          9 |         42 |
| pages/api/users/profile-picture                                                               |          1 |         31 |          2 |          8 |         41 |
| patches                                                                                       |          1 |      1,671 |          0 |          1 |      1,672 |
| public                                                                                        |          6 |      1,632 |        168 |        435 |      2,235 |
| scripts                                                                                       |          1 |         22 |          5 |          6 |         33 |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                      | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/user/Documents/BlueprintCAD/README.md                                                  | Markdown           |         29 |          0 |          7 |         36 |
| /Users/user/Documents/BlueprintCAD/app/api/cad/files/feature-tree/route.ts                    | TypeScript         |        122 |          5 |         25 |        152 |
| /Users/user/Documents/BlueprintCAD/app/assembly-editor/page.tsx                               | TypeScript JSX     |        953 |         78 |        170 |      1,201 |
| /Users/user/Documents/BlueprintCAD/app/auth/callback/page.tsx                                 | TypeScript JSX     |         78 |          6 |         11 |         95 |
| /Users/user/Documents/BlueprintCAD/app/bom-editor/page.tsx                                    | TypeScript JSX     |        335 |          8 |         42 |        385 |
| /Users/user/Documents/BlueprintCAD/app/buy/page.tsx                                           | TypeScript JSX     |        492 |          9 |         38 |        539 |
| /Users/user/Documents/BlueprintCAD/app/cad-editor/page.tsx                                    | TypeScript JSX     |      1,311 |         71 |        184 |      1,566 |
| /Users/user/Documents/BlueprintCAD/app/checkout/page.tsx                                      | TypeScript JSX     |        407 |          5 |         47 |        459 |
| /Users/user/Documents/BlueprintCAD/app/checkout/success/page.tsx                              | TypeScript JSX     |        124 |          5 |         14 |        143 |
| /Users/user/Documents/BlueprintCAD/app/components/CheckoutModal.tsx                           | TypeScript JSX     |        148 |          3 |         26 |        177 |
| /Users/user/Documents/BlueprintCAD/app/components/FolderBreadcrumb.tsx                        | TypeScript JSX     |        124 |          1 |         14 |        139 |
| /Users/user/Documents/BlueprintCAD/app/components/FolderTree.tsx                              | TypeScript JSX     |        190 |          4 |         30 |        224 |
| /Users/user/Documents/BlueprintCAD/app/components/VerificationBanner.tsx                      | TypeScript JSX     |        101 |          1 |         11 |        113 |
| /Users/user/Documents/BlueprintCAD/app/components/layout.tsx                                  | TypeScript JSX     |          9 |          0 |          1 |         10 |
| /Users/user/Documents/BlueprintCAD/app/components/navbar.tsx                                  | TypeScript JSX     |        256 |         12 |         24 |        292 |
| /Users/user/Documents/BlueprintCAD/app/components/threepreview.tsx                            | TypeScript JSX     |        237 |         12 |         48 |        297 |
| /Users/user/Documents/BlueprintCAD/app/dashboard/page.tsx                                     | TypeScript JSX     |        421 |         18 |         22 |        461 |
| /Users/user/Documents/BlueprintCAD/app/drawing-editor/page.tsx                                | TypeScript JSX     |        661 |         38 |         98 |        797 |
| /Users/user/Documents/BlueprintCAD/app/error.tsx                                              | TypeScript JSX     |         24 |          1 |          2 |         27 |
| /Users/user/Documents/BlueprintCAD/app/explore/error.tsx                                      | TypeScript JSX     |         24 |          1 |          2 |         27 |
| /Users/user/Documents/BlueprintCAD/app/explore/page.tsx                                       | TypeScript JSX     |        810 |         27 |         21 |        858 |
| /Users/user/Documents/BlueprintCAD/app/folders/[id]/page.tsx                                  | TypeScript JSX     |        602 |         16 |         28 |        646 |
| /Users/user/Documents/BlueprintCAD/app/folders/page.tsx                                       | TypeScript JSX     |        496 |         23 |         31 |        550 |
| /Users/user/Documents/BlueprintCAD/app/forgot-password/page.tsx                               | TypeScript JSX     |        140 |          4 |         14 |        158 |
| /Users/user/Documents/BlueprintCAD/app/forgot-username/page.tsx                               | TypeScript JSX     |        140 |          4 |         14 |        158 |
| /Users/user/Documents/BlueprintCAD/app/forum/[id]/page.tsx                                    | TypeScript JSX     |        486 |          5 |         29 |        520 |
| /Users/user/Documents/BlueprintCAD/app/forum/page.tsx                                         | TypeScript JSX     |        804 |         29 |         47 |        880 |
| /Users/user/Documents/BlueprintCAD/app/global-error.tsx                                       | TypeScript JSX     |         28 |          1 |          2 |         31 |
| /Users/user/Documents/BlueprintCAD/app/globals.css                                            | PostCSS            |         50 |          3 |          9 |         62 |
| /Users/user/Documents/BlueprintCAD/app/issues/page.tsx                                        | TypeScript JSX     |        570 |         11 |         59 |        640 |
| /Users/user/Documents/BlueprintCAD/app/layout.tsx                                             | TypeScript JSX     |         36 |          0 |          5 |         41 |
| /Users/user/Documents/BlueprintCAD/app/login/page.tsx                                         | TypeScript JSX     |        247 |          8 |         28 |        283 |
| /Users/user/Documents/BlueprintCAD/app/marketplace/error.tsx                                  | TypeScript JSX     |         24 |          1 |          2 |         27 |
| /Users/user/Documents/BlueprintCAD/app/marketplace/page.tsx                                   | TypeScript JSX     |        817 |         27 |         24 |        868 |
| /Users/user/Documents/BlueprintCAD/app/messages/page.tsx                                      | TypeScript JSX     |        613 |         20 |         29 |        662 |
| /Users/user/Documents/BlueprintCAD/app/not-found.tsx                                          | TypeScript JSX     |         21 |          1 |          2 |         24 |
| /Users/user/Documents/BlueprintCAD/app/notifications/page.tsx                                 | TypeScript JSX     |        270 |         10 |         26 |        306 |
| /Users/user/Documents/BlueprintCAD/app/orders/page.tsx                                        | TypeScript JSX     |        309 |          7 |         24 |        340 |
| /Users/user/Documents/BlueprintCAD/app/page.tsx                                               | TypeScript JSX     |        344 |         11 |         23 |        378 |
| /Users/user/Documents/BlueprintCAD/app/profile/[username]/followers/page.tsx                  | TypeScript JSX     |        193 |          0 |         18 |        211 |
| /Users/user/Documents/BlueprintCAD/app/profile/[username]/following/page.tsx                  | TypeScript JSX     |        193 |          0 |         18 |        211 |
| /Users/user/Documents/BlueprintCAD/app/profile/[username]/page.tsx                            | TypeScript JSX     |        681 |         24 |         41 |        746 |
| /Users/user/Documents/BlueprintCAD/app/profile/[username]/page_old.tsx                        | TypeScript JSX     |        797 |         30 |         57 |        884 |
| /Users/user/Documents/BlueprintCAD/app/project/[id]/error.tsx                                 | TypeScript JSX     |         24 |          1 |          2 |         27 |
| /Users/user/Documents/BlueprintCAD/app/project/[id]/page.tsx                                  | TypeScript JSX     |        878 |         24 |         44 |        946 |
| /Users/user/Documents/BlueprintCAD/app/providers/AuthProvider.tsx                             | TypeScript JSX     |          6 |          0 |          3 |          9 |
| /Users/user/Documents/BlueprintCAD/app/quote/page.tsx                                         | TypeScript JSX     |      1,110 |         72 |         99 |      1,281 |
| /Users/user/Documents/BlueprintCAD/app/quote/page_old.tsx                                     | TypeScript JSX     |        726 |         20 |         81 |        827 |
| /Users/user/Documents/BlueprintCAD/app/register/page.tsx                                      | TypeScript JSX     |        269 |          8 |         26 |        303 |
| /Users/user/Documents/BlueprintCAD/app/reset-password/page.tsx                                | TypeScript JSX     |        213 |          5 |         23 |        241 |
| /Users/user/Documents/BlueprintCAD/app/settings/account/page.tsx                              | TypeScript JSX     |        238 |          2 |         26 |        266 |
| /Users/user/Documents/BlueprintCAD/app/settings/page.tsx                                      | TypeScript JSX     |        710 |         20 |         31 |        761 |
| /Users/user/Documents/BlueprintCAD/app/support/page.tsx                                       | TypeScript JSX     |        199 |          8 |         11 |        218 |
| /Users/user/Documents/BlueprintCAD/app/upload/page.tsx                                        | TypeScript JSX     |        630 |         30 |         64 |        724 |
| /Users/user/Documents/BlueprintCAD/app/verify-email/page.tsx                                  | TypeScript JSX     |        123 |          2 |         16 |        141 |
| /Users/user/Documents/BlueprintCAD/backend/api/auth/[...nextauth].js                          | JavaScript         |        204 |         16 |         39 |        259 |
| /Users/user/Documents/BlueprintCAD/backend/api/auth/disconnect.js                             | JavaScript         |         57 |          7 |         14 |         78 |
| /Users/user/Documents/BlueprintCAD/backend/api/auth/forgot-password.ts                        | TypeScript         |         71 |         11 |         16 |         98 |
| /Users/user/Documents/BlueprintCAD/backend/api/auth/forgot-username.ts                        | TypeScript         |         60 |          6 |         13 |         79 |
| /Users/user/Documents/BlueprintCAD/backend/api/auth/login.js                                  | JavaScript         |         41 |          4 |         10 |         55 |
| /Users/user/Documents/BlueprintCAD/backend/api/auth/providers.js                              | JavaScript         |         41 |          3 |          9 |         53 |
| /Users/user/Documents/BlueprintCAD/backend/api/auth/register.js                               | JavaScript         |         73 |         10 |         17 |        100 |
| /Users/user/Documents/BlueprintCAD/backend/api/auth/resend-verification.js                    | JavaScript         |         62 |          9 |         14 |         85 |
| /Users/user/Documents/BlueprintCAD/backend/api/auth/reset-password.ts                         | TypeScript         |         53 |          6 |         14 |         73 |
| /Users/user/Documents/BlueprintCAD/backend/api/auth/verify-email.js                           | JavaScript         |         37 |          5 |         10 |         52 |
| /Users/user/Documents/BlueprintCAD/backend/api/cad/assemblies/[id].ts                         | TypeScript         |        139 |          4 |         25 |        168 |
| /Users/user/Documents/BlueprintCAD/backend/api/cad/assemblies/index.ts                        | TypeScript         |        112 |          2 |         17 |        131 |
| /Users/user/Documents/BlueprintCAD/backend/api/cad/files/[id].js                              | JavaScript         |         57 |          4 |         11 |         72 |
| /Users/user/Documents/BlueprintCAD/backend/api/cad/files/[id]/metadata.ts                     | TypeScript         |        126 |         13 |         29 |        168 |
| /Users/user/Documents/BlueprintCAD/backend/api/cad/files/[id]/reference.ts                    | TypeScript         |         57 |          2 |         11 |         70 |
| /Users/user/Documents/BlueprintCAD/backend/api/cad/files/[id]/save.js                         | JavaScript         |         91 |          7 |         16 |        114 |
| /Users/user/Documents/BlueprintCAD/backend/api/cad/files/[id]/versions.js                     | JavaScript         |         59 |          3 |         11 |         73 |
| /Users/user/Documents/BlueprintCAD/backend/api/cad/files/index.ts                             | TypeScript         |         40 |          0 |          9 |         49 |
| /Users/user/Documents/BlueprintCAD/backend/api/cad/files/upload.js                            | JavaScript         |         65 |          4 |         16 |         85 |
| /Users/user/Documents/BlueprintCAD/backend/api/cad/list.js                                    | JavaScript         |         57 |          3 |          9 |         69 |
| /Users/user/Documents/BlueprintCAD/backend/api/comments/[commentId]/reactions.ts              | TypeScript         |         40 |          3 |          8 |         51 |
| /Users/user/Documents/BlueprintCAD/backend/api/comments/on/[entityType]/[entityId].ts         | TypeScript         |        156 |         13 |         25 |        194 |
| /Users/user/Documents/BlueprintCAD/backend/api/dashboard/activity.js                          | JavaScript         |        121 |          7 |         19 |        147 |
| /Users/user/Documents/BlueprintCAD/backend/api/dashboard/stats.js                             | JavaScript         |         75 |         10 |         13 |         98 |
| /Users/user/Documents/BlueprintCAD/backend/api/dashboard/storage.js                           | JavaScript         |         88 |         12 |         15 |        115 |
| /Users/user/Documents/BlueprintCAD/backend/api/dashboard/trending.js                          | JavaScript         |         42 |          4 |          7 |         53 |
| /Users/user/Documents/BlueprintCAD/backend/api/files/[file].ts                                | TypeScript         |        128 |         29 |         31 |        188 |
| /Users/user/Documents/BlueprintCAD/backend/api/folders/[id]/activity.ts                       | TypeScript         |         32 |          0 |          4 |         36 |
| /Users/user/Documents/BlueprintCAD/backend/api/folders/[id]/breadcrumb.ts                     | TypeScript         |         18 |          0 |          4 |         22 |
| /Users/user/Documents/BlueprintCAD/backend/api/folders/[id]/comments.ts                       | TypeScript         |         78 |          2 |         12 |         92 |
| /Users/user/Documents/BlueprintCAD/backend/api/folders/[id]/index.ts                          | TypeScript         |        113 |          4 |         21 |        138 |
| /Users/user/Documents/BlueprintCAD/backend/api/folders/[id]/members.ts                        | TypeScript         |         91 |          5 |         18 |        114 |
| /Users/user/Documents/BlueprintCAD/backend/api/folders/[id]/members/[memberId].ts             | TypeScript         |         76 |          4 |         18 |         98 |
| /Users/user/Documents/BlueprintCAD/backend/api/folders/[id]/members/[memberId]/role.ts        | TypeScript         |        116 |         18 |         33 |        167 |
| /Users/user/Documents/BlueprintCAD/backend/api/folders/[id]/move-folder.ts                    | TypeScript         |        121 |         11 |         24 |        156 |
| /Users/user/Documents/BlueprintCAD/backend/api/folders/[id]/rename.ts                         | TypeScript         |         80 |          7 |         19 |        106 |
| /Users/user/Documents/BlueprintCAD/backend/api/folders/index.ts                               | TypeScript         |         90 |          3 |         18 |        111 |
| /Users/user/Documents/BlueprintCAD/backend/api/folders/move.ts                                | TypeScript         |         35 |          0 |          7 |         42 |
| /Users/user/Documents/BlueprintCAD/backend/api/folders/tree.ts                                | TypeScript         |         23 |          0 |          5 |         28 |
| /Users/user/Documents/BlueprintCAD/backend/api/forum/[id].ts                                  | TypeScript         |         88 |          8 |         25 |        121 |
| /Users/user/Documents/BlueprintCAD/backend/api/forum/stats.js                                 | JavaScript         |         47 |          7 |         11 |         65 |
| /Users/user/Documents/BlueprintCAD/backend/api/forum/threads.ts                               | TypeScript         |         71 |          4 |         17 |         92 |
| /Users/user/Documents/BlueprintCAD/backend/api/invitations/[id].ts                            | TypeScript         |         64 |          3 |         12 |         79 |
| /Users/user/Documents/BlueprintCAD/backend/api/invitations/index.ts                           | TypeScript         |         36 |          0 |          5 |         41 |
| /Users/user/Documents/BlueprintCAD/backend/api/issues/[id]/update.js                          | JavaScript         |         88 |          7 |         21 |        116 |
| /Users/user/Documents/BlueprintCAD/backend/api/issues/list.js                                 | JavaScript         |        127 |          9 |         26 |        162 |
| /Users/user/Documents/BlueprintCAD/backend/api/issues/submit.js                               | JavaScript         |        104 |         11 |         20 |        135 |
| /Users/user/Documents/BlueprintCAD/backend/api/manufacturing-orders/create.js                 | JavaScript         |        101 |          6 |         14 |        121 |
| /Users/user/Documents/BlueprintCAD/backend/api/messages.ts                                    | TypeScript         |         99 |          9 |         21 |        129 |
| /Users/user/Documents/BlueprintCAD/backend/api/messages/[username].ts                         | TypeScript         |         39 |          4 |         10 |         53 |
| /Users/user/Documents/BlueprintCAD/backend/api/notifications.ts                               | TypeScript         |         50 |          4 |         11 |         65 |
| /Users/user/Documents/BlueprintCAD/backend/api/orders/checkout.js                             | JavaScript         |         69 |         10 |         20 |         99 |
| /Users/user/Documents/BlueprintCAD/backend/api/orders/confirm.js                              | JavaScript         |        109 |         13 |         21 |        143 |
| /Users/user/Documents/BlueprintCAD/backend/api/orders/download.js                             | JavaScript         |         61 |         12 |         18 |         91 |
| /Users/user/Documents/BlueprintCAD/backend/api/orders/my-orders.js                            | JavaScript         |         68 |          5 |         13 |         86 |
